Additive,Type,Regulatory Status,Uses,CFR,,,,
Trichloromelamine,SANI,REG,Sanitizing agent,178.101,,,,
Triethanolamine,MISC,REG,Miscellaneous,173.315,,,,
Triethyl citrate,MISC,GRAS,Miscellaneous,182.1911,,,,
Triethylenetetramine cross-linked with epichlorohydrin,MISC,REG,Miscellaneous,173.25,,,,
Triflouromethane sulfonic acid,CATALYST,REG,Catalyst,173.395,,,,
Trifluoromethane sulfonic acid,MISC,REG,Miscellaneous,173.395,,,,
"2,4,5-Trihydroxybutyrophenone (THBP)",AOX,REG,Antioxidant,172.19,,,,
Trimethylamine,MISC,REG,Miscellaneous,173.2,,,,
Trisodium nitrilotriacetate,BC,REG,Boiler water additive,173.31,,,,
Trisodium phosphate,EMUL,GRAS/FS,Emulsifier,"133, 150",,,,
Triticum (see dog grass),ESO,GRAS,Essential oil,182.2,,,,
Tryptophan (L-form only),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Tuberose,ESO,GRAS,Essential oil,182.2,,,,
Turmeric,SP/ESO,GRAS,"Spice, essential oil",182.2,,,,
Tunu,MISC,REG,Miscellaneous,172.615,,,,
Turpentine,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Tylosin,FEED/VET,REG,"Feed additive, veterinary drug","556.740, 520.2640, 522.2640, 558.55, 558.58, 558.274, 558.625, 558.630, 558.680",,,,
Tylosin & Sulfamethazine,FEED,REG,Feed additive,"558.630, 556.740, 556.730",,,,
Tyrosine (L-form only),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
U,,,,,,,,
Urea,GRAS,GRAS,,184.1923,,,,
Urease enzyme from Lactobacillius fermentum,MISC,GRAS,Miscellaneous,184.1924,,,,
Thiodipropionic acid,AOX,GRAS,Antioxidant,"182.3109, 181.24",,,,
Thiourea,AOX,BAN,Antioxidant,189.19,,,,
"Thistle, blessed (holy thistle)",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Threonine (L form only),NUTS/DS,REG,"Nutrient, dietary supplement",172.32,,,,
"Thyme, White Thyme",SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
"Thyme, wild or creeping",SP/FLAV/ESO,GRAS,"Spice, flavoring agent, essential oil","182.10, 182.20",,,,
Thymol iodide,DS,GRAS,Dietary supplement,582.8,,,,
Thymus capitatus (Spanish origanum),FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Tiamulin,FEED,REG,Feed additive,"556.738, 520.2455, 558.600",,,,
Tocopherols,PRES,GRAS,Preservative,"182.3890, 184.1890",,,,
Tocopherol acetate,DS/NUTR,GRAS,Dietary supplement,"182.5892, 184.1930",,,,
"Tolu, Balsam, extract ands gum",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Tonka extract,SY/FL,BAN,Synthetic flavoring substance,189.13,,,,
"Torula yeast, dried (Candida utilis)",FLAV,REG,Flavoring agent,172.896,,,,
Tragacanth (gum tragacanth),STAB,GRAS/FS,Stabilizer,"184.1351, 133, 135, 169, 150",,,,
Trenbolone Acetate,VET,REG,Veterinary drug,"556.739, 522.2476",,,,
Trenbolone Acetate & Estradiol,VET,REG,Veterinary drug,"522.2477, 556.739, 556.240",,,,
"Triacetin (glyceryl triacetate or 1,2,3-propanetriol triacetate)",MISC,GRAS,Miscellaneous,184.1901,,,,
Tricalcium phosphate,MISC/DS,GRAS/FS,"Miscellaneous, dietary supplement","182.2906, 137",,,,
Tricalcium silicate,AC,GRAS,Anticaking agent,182.2906,,,,
Trichloroethylene,SOLV,REG,Solvent,173.29,,,,
Trichloroisocyanuric acid,SANI,REG,Sanitizing agent,178.101,,,,
Trichloromelamine,SANI,REG,Sanitizing agent,178.101,,,,
Triethanolamine,MISC,REG,Miscellaneous,173.315,,,,
Triethyl citrate,MISC,GRAS,Miscellaneous,182.1911,,,,
Triethylenetetramine cross-linked with epichlorohydrin,MISC,REG,Miscellaneous,173.25,,,,
Triflouromethane sulfonic acid,CATALYST,REG,Catalyst,173.395,,,,
Trifluoromethane sulfonic acid,MISC,REG,Miscellaneous,173.395,,,,
"2,4,5-Trihydroxybutyrophenone (THBP)",AOX,REG,Antioxidant,172.19,,,,
Trimethylamine,MISC,REG,Miscellaneous,173.2,,,,
Trisodium nitrilotriacetate,BC,REG,Boiler water additive,173.31,,,,
Trisodium phosphate,EMUL,GRAS/FS,Emulsifier,"133, 150",,,,
Triticum (see dog grass),ESO,GRAS,Essential oil,182.2,,,,
Tryptophan (L-form only),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Tuberose,ESO,GRAS,Essential oil,182.2,,,,
Turmeric,SP/ESO,GRAS,"Spice, essential oil",182.2,,,,
Tunu,MISC,REG,Miscellaneous,172.615,,,,
Turpentine,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Tylosin,FEED/VET,REG,"Feed additive, veterinary drug","556.740, 520.2640, 522.2640, 558.55, 558.58, 558.274, 558.625, 558.630, 558.680",,,,
Tylosin & Sulfamethazine,FEED,REG,Feed additive,"558.630, 556.740, 556.730",,,,
Tyrosine (L-form only),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
U,,,,,,,,
Urea,GRAS,GRAS,,184.1923,,,,
Urease enzyme from Lactobacillius fermentum,MISC,GRAS,Miscellaneous,184.1924,,,,
Valerian rhizome & roots,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Valeric acid,MISC,REG,Miscellaneous,173.315,,,,
Valine (L-form only),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Vanilla,FLAV,GRAS/FS,Flavoring agent,"163, 169",,,,
Vanillin,SYN/FL,GRAS/FS,Synthetic flavoring substance,"163, 169, 182.60, 182.90",,,,
Veronica,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Vervain, European",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Verxite flakes,FEED,REG,Feed additive,573.1,,,,
Verxite granules (Exfoliated hydrobiotite),FEED,REG,Feed additive,573.1,,,,
Verxite grits,FEED,REG,Feed additive,573.1,,,,
Vetiver,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Vinyl acetate,MISC,REG,Miscellaneous,172.892,,,,
Vinyl chloride-vinylidene chloride copolymer,CTG,REG,Component of coating for fruits and vegetables,172.21,,,,
Violet flowers & leaves,ESO,GRAS,Essential oil,182.2,,,,
Violet leaves absolute,ESO,GRAS,Essential oil,182.2,,,,
"Violet, Swiss",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Virginiamycin,FEED,REG,Feed additive,"556.750, 520.2640, 558.635",,,,
Vitamin A,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5930, 184.1930, 131, 133, 135",,,,
Vitamin A acetate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5933, 184.1930",,,,
Vitamin A palmitate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5936, 184.1930",,,,
Vitamin B,NUTR/DS,GRAS,"Nutrient, dietary supplement",,,,,
Vitamin B12,NUTR/DS,GRAS,,,,,,
Vitamin C,See Ascorbic Acid,,,,,,,
Vitamin D,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5950, 182.5953, 184.1950, 137, 139, 131",,,,
Vitamin D2,NUTR,REG,Nutrient,172.379,,,,
Vitamin D3,NUTR,REG,Nutrient,172.38,,,,
"Volatile Fatty Acids: Isobutyric Acid, Isovaleric Acid, methylbutyric Acid, m-Valeric Acid (As calcium or ammonium salts)",ADD,REG,Feed additive,573.914,,,,
"Walnut husks, leaves & green nuts",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Wax, paraffin (Fischer-Tropsch)",MISC,REG,Miscellaneous,172.615,,,,
"Wax, paraffin",CTG,FS,Component of coating for fruits and vegetables,133,,,,
Wheat Starch,MISC,GRAS,Miscellaneous,182.7,,,,
"Wheat gluten, vital",GRAS,GRAS,,184.1322,,,,
"Whey, fermented, ammoniated, condensed",FA,REG,Feed additive,573.45,,,,
"Whey, reduced lactose whey, reduced minerals whey, whey protein concentrate",GRAS,GRAS,,"184.1979, 184.1979a-c, 135",,,,
White Mineral Oil,"See Mineral Oil, White",,,,,,,
Whole fish protein concentrate,DS,REG,Dietary supplement,172.385,,,,
Wild Cherry bark,ESO,GRAS,Essential oil,182.2,,,,
Wood rosin,CTG,REG,Component of coating for fruits and vegetables,172.21,,,,
"Woodruff, sweet",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
X,,,,,,,,
Xanthan gum,EMUL,REG,Emulsifier,"172.695, 169, 133, 573.1010",,,,
Xylitol,MISC,REG,Miscellaneous,172.395,,,,
Y,,,,,,,,
Yarrow,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Yeast (Bakers, Saccharomyces cerevisiae)",FS,Food substance,160,,,,,
"Yeast, dried",DS,REG,Dietary supplement,"172.896, 137, 139",,,,
"Yeast, dried, inactive",FLAV,REG/FS,Flavoring agent,"136, 139, 172.896",,,,
"Yeast, dried, irradiated",NUTR,GRAS/DS,"Nutrient, dietary supplement",137.305,,,,
Yeast extract (Bakers),FL/ADJ,GRAS,Flavoring adjuvant,184.1983,,,,
"Yeast, malt sprout extract",FL/ADJ,REG,Flavoring adjuvant,172.59,,,,
"Yeast, torula, dried",DS,REG,Dietary supplement,172.896,,,,
Yellow prussiate of soda (sodium ferrocyanide decahydrate),"See Prussiate of Soda, Yellow",,,,,,,
Yerba santa,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Ylang-ylang,ESO,GRAS,Essential oil,182.2,,,,
"Yucca, Joshua-tree",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Yucca, Mohave",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Z,,,,,,,,
"Zein, powder",GRAS,GRAS,,184.1984,,,,
Zedoary,SP,GRAS,Spice,182.1,,,,
Zedoary bark,ESO,GRAS,Essential oil,182.2,,,,
Zeranol (Zearalanol),VET,REG,Veterinary drug,"556.760, 522.2680",,,,
"Zinc (acetate, carbonate, chloride, oxide, sulfate)",NUTR,GRAS,"Nutrient, dietary supplement",582.8,,,,
Zinc bacitracin,FEED,REG,Feed additive,,,,,
Zinc chloride,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5985, 182.8985",,,,
Zinc gluconate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5988, 182.8988",,,,
Zinc methionine sulfate,NUTR,REG,Nutrient,172.399,,,,
Zinc oxide,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5991, 182.8991",,,,
Zinc stearate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5994, 182.8994",,,,
Zinc sulfate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5997, 182.8997, 182.90",,,,
Zoalene,FEED,REG,Feed additive,"556.770, 558.60, 558.62, 558.78, 558.128, 558.248, 558.274, 558.450, 558.530, 558.680",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
